+Articles 	 taittirIyam/AraNyakam/articles/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/07/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/09/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vishvAsa-prastutiH/11/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vishvAsa-prastutiH/14/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/06/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/07/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/08/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/09/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/10/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/11/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/12/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/13/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/14/01/
+०१ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/visvaram/01/
+०१ 	 vAjasaneyam/sUtram/kAtyAyanaH/shrautam/mUlam/01/
+०१, उपहोमशेषः 	 taittirIyam/brAhmaNam/sarva-prastutiH/2/5/1/
+०१, देवनक्षत्राणां याज्यानुवाक्याः 	 taittirIyam/brAhmaNam/bhaTTa-bhAskara-bhAShyam/3/1/1/
+०२ 	 maitrAyaNIyam/visvara-saMhitA/1/02/
+०२ 	 maitrAyaNIyam/visvara-saMhitA/2/02/
+०२ 	 maitrAyaNIyam/visvara-saMhitA/3/02/
+०२ 	 maitrAyaNIyam/visvara-saMhitA/4/02/
+०२ 	 taittirIyam/AraNyakam/sarva-prastutiH/02/
+०२ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/1/02/
+०२ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/2/02/
+०२ 	 taittirIyam/sUtram/ApastambaH/shrautam/sarva-prastutiH/02/
+०२ 	 taittirIyam/sUtram/baudhAyanaH/gRhyam/gRhya-paribhAShA/2/
+०२ 	 taittirIyam/sUtram/bhAradvAjaH/shrauta-sUtram/02/
+०२ 	 taittirIyam/sUtram/hiraNyakeshI/paddhatiH/saMskAraratnamAlA/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/07/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/09/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/06/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/07/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/08/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/09/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/10/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/11/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/12/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/13/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/14/02/
+०२ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/visvaram/02/
+०२ 	 vAjasaneyam/sUtram/kAtyAyanaH/shrautam/mUlam/02/
+०२ पुण्यनक्षत्रम् 	 taittirIyam/brAhmaNam/sarva-prastutiH/1/5/02/
+०२, उपहोमशेषः 	 taittirIyam/brAhmaNam/sarva-prastutiH/2/5/2/
+०२, यमनक्षत्राणां याज्यानुवाक्याः 	 taittirIyam/brAhmaNam/bhaTTa-bhAskara-bhAShyam/3/1/2/
+०३ 	 maitrAyaNIyam/visvara-saMhitA/1/03/
+०३ 	 maitrAyaNIyam/visvara-saMhitA/2/03/
+०३ 	 maitrAyaNIyam/visvara-saMhitA/3/03/
+०३ 	 maitrAyaNIyam/visvara-saMhitA/4/03/
+०३ 	 taittirIyam/AraNyakam/sarva-prastutiH/03/
+०३ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/1/03/
+०३ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/2/03/
+०३ 	 taittirIyam/sUtram/ApastambaH/shrautam/sarva-prastutiH/03/
+०३ 	 taittirIyam/sUtram/bhAradvAjaH/shrauta-sUtram/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/07/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/09/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/06/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/07/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/08/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/09/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/10/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/11/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/12/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/13/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/14/03/
+०३ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/visvaram/03/
+०३ 	 vAjasaneyam/sUtram/kAtyAyanaH/shrautam/mUlam/03/
+०३, उपहोमशेषः 	 taittirIyam/brAhmaNam/sarva-prastutiH/2/5/3/
+०३, चान्द्रमासादीनां सप्तानामिष्टीनां याज्यानुवाक्याः 	 taittirIyam/brAhmaNam/bhaTTa-bhAskara-bhAShyam/3/1/3/
+०४ 	 maitrAyaNIyam/visvara-saMhitA/1/04/
+०४ 	 maitrAyaNIyam/visvara-saMhitA/2/04/
+०४ 	 maitrAyaNIyam/visvara-saMhitA/3/04/
+०४ 	 maitrAyaNIyam/visvara-saMhitA/4/04/
+०४ 	 taittirIyam/AraNyakam/sarva-prastutiH/04/
+०४ 	 taittirIyam/brAhmaNam/sarva-prastutiH/3/2/04/
+०४ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/1/04/
+०४ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/2/04/
+०४ 	 taittirIyam/sUtram/ApastambaH/shrautam/sarva-prastutiH/04/
+०४ 	 taittirIyam/sUtram/bhAradvAjaH/shrauta-sUtram/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/07/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/09/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/06/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/07/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/08/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/09/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/10/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/11/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/12/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/13/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/14/04/
+०४ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/visvaram/04/
+०४ 	 vAjasaneyam/sUtram/kAtyAyanaH/shrautam/mUlam/04/
+०४, उपहोमशेषः 	 taittirIyam/brAhmaNam/sarva-prastutiH/2/5/4/
+०५ 	 maitrAyaNIyam/visvara-saMhitA/1/05/
+०५ 	 maitrAyaNIyam/visvara-saMhitA/2/05/
+०५ 	 maitrAyaNIyam/visvara-saMhitA/3/05/
+०५ 	 maitrAyaNIyam/visvara-saMhitA/4/05/
+०५ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/1/05/
+०५ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/2/05/
+०५ 	 taittirIyam/sUtram/ApastambaH/shrautam/sarva-prastutiH/05/
+०५ 	 taittirIyam/sUtram/bhAradvAjaH/shrauta-sUtram/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/07/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/09/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/01/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/02/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/03/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/04/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/06/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/07/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/08/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/09/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/10/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/11/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/12/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/13/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/sasvaram/14/05/
+०५ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/weber-srotaH/visvaram/05/
+०५ 	 vAjasaneyam/sUtram/kAtyAyanaH/shrautam/mUlam/05/
+०५ तैत्तिरीयोपनिषत् 	 taittirIyam/AraNyakam/sarva-prastutiH/05/
+०५, उपहोमशेषः 	 taittirIyam/brAhmaNam/sarva-prastutiH/2/5/5/
+०६ 	 maitrAyaNIyam/visvara-saMhitA/1/06/
+०६ 	 maitrAyaNIyam/visvara-saMhitA/2/06/
+०६ 	 maitrAyaNIyam/visvara-saMhitA/3/06/
+०६ 	 maitrAyaNIyam/visvara-saMhitA/4/06/
+०६ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/1/06/
+०६ 	 taittirIyam/sUtram/ApastambaH/dharma-sUtram/sarva-prastutiH/2/06/
+०६ 	 taittirIyam/sUtram/ApastambaH/shrautam/sarva-prastutiH/06/
+०६ 	 taittirIyam/sUtram/bhAradvAjaH/shrauta-sUtram/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/01/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/02/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/03/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/04/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/08/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/10/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/11/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/12/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/13/06/
+०६ 	 vAjasaneyam/mAdhyandinam/shatapatha-brAhmaNam/vaMshIdhara-pAThaH/sasvaram/14/06/
